full_name,year,month,total_spending,gender,zip,job,age
Aaron Bean,2019,1,2268.2799999999997,1,539,411,65
Aaron Bean,2019,2,2568.58,1,539,411,65
Aaron Bean,2019,3,2678.04,1,539,411,65
Aaron Bean,2019,4,7831.2300000000005,1,539,411,65
Aaron Bean,2019,5,4737.32,1,539,411,65
Aaron Bean,2019,6,4435.25,1,539,411,65
Aaron Bean,2019,7,5573.55,1,539,411,65
Aaron Bean,2019,8,5219.41,1,539,411,65
Aaron Bean,2019,9,3854.99,1,539,411,65
Aaron Bean,2019,10,2243.51,1,539,411,65
Aaron Bean,2019,11,3583.27,1,539,411,65
Aaron Bean,2019,12,5244.23,1,539,411,65
Aaron Bean,2020,1,1951.57,1,539,411,65
Aaron Bean,2020,2,3288.03,1,539,411,65
Aaron Bean,2020,3,3820.81,1,539,411,65
Aaron Bean,2020,4,2738.37,1,539,411,65
Aaron Bean,2020,5,2622.79,1,539,411,65
Aaron Bean,2020,6,3882.4,1,539,411,65
Aaron Bean,2020,7,5381.0599999999995,1,539,411,65
Aaron Bean,2020,8,3051.7799999999997,1,539,411,65
Aaron Bean,2020,9,2601.38,1,539,411,65
Aaron Bean,2020,10,5473.56,1,539,411,65
Aaron Bean,2020,11,6536.7300000000005,1,539,411,65
Aaron Bean,2020,12,6317.1,1,539,411,65
Aaron Bean,2021,1,3111.11,1,539,411,65
Aaron Bean,2021,2,2449.14,1,539,411,65
Aaron Bean,2021,3,3326.99,1,539,411,65
Aaron Bean,2021,4,4037.1,1,539,411,65
Aaron Bean,2021,5,4851.77,1,539,411,65
Aaron Bean,2021,6,3326.95,1,539,411,65
Aaron Bean,2021,7,8846.1,1,539,411,65
Aaron Bean,2021,8,4768.04,1,539,411,65
Aaron Bean,2021,9,2559.64,1,539,411,65
Aaron Bean,2021,10,2673.64,1,539,411,65
Aaron Bean,2021,11,2720.11,1,539,411,65
Aaron Bean,2021,12,8005.16,1,539,411,65
Aaron Bean,2022,1,5296.09,1,539,411,65
Aaron Bean,2022,2,4370.87,1,539,411,65
Aaron Bean,2022,3,9095.81,1,539,411,65
Aaron Bean,2022,4,5533.32,1,539,411,65
Aaron Bean,2022,5,6643.88,1,539,411,65
Aaron Bean,2022,6,8263.1,1,539,411,65
Aaron Bean,2022,7,6750.68,1,539,411,65
Aaron Bean,2022,8,7652.65,1,539,411,65
Aaron Bean,2022,9,6865.13,1,539,411,65
Aaron Bean,2022,10,5488.24,1,539,411,65
Aaron Bean,2022,11,6654.98,1,539,411,65
Aaron Bean,2022,12,12630.24,1,539,411,65
Aaron Clark,2018,12,53.49,1,857,130,34
Aaron Clark,2019,1,1518.76,1,857,130,34
Aaron Clark,2019,2,1198.64,1,857,130,34
Aaron Clark,2019,3,1330.79,1,857,130,34
Aaron Clark,2019,4,1829.0,1,857,130,34
Aaron Clark,2019,5,1892.6100000000001,1,857,130,34
Aaron Clark,2019,6,3300.92,1,857,130,34
Aaron Clark,2019,7,1748.4,1,857,130,34
Aaron Clark,2019,8,2048.46,1,857,130,34
Aaron Clark,2019,9,1826.6,1,857,130,34
Aaron Clark,2019,10,1585.05,1,857,130,34
Aaron Clark,2019,11,2074.44,1,857,130,34
Aaron Clark,2019,12,3169.6,1,857,130,34
Aaron Clark,2020,1,1049.74,1,857,130,34
Aaron Clark,2020,2,1293.59,1,857,130,34
Aaron Clark,2020,3,1866.94,1,857,130,34
Aaron Clark,2020,4,1321.89,1,857,130,34
Aaron Clark,2020,5,1581.1200000000001,1,857,130,34
Aaron Clark,2020,6,2852.6,1,857,130,34
